timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780661863.8311477,SEND,0,1,
1780661863.8316674,ACK,0,1,0.0005197525024414062
1780661863.8321595,SEND,1,1,
1780661863.832866,ACK,1,1,0.0007064342498779297
1780661863.8332756,SEND,2,1,
1780661863.8338575,ACK,2,1,0.0005819797515869141
1780661863.8344755,SEND,3,1,
1780661863.8352563,ACK,3,1,0.0007808208465576172
1780661863.8364983,SEND,4,1,
1780661863.84169,ACK,4,1,0.005191802978515625
1780661863.8455696,SEND,5,1,
1780661863.8462348,ACK,5,1,0.0006651878356933594
1780661863.846872,SEND,6,1,
1780661863.847681,ACK,6,1,0.0008089542388916016
1780661863.8483222,SEND,7,1,
1780661863.8493586,ACK,7,1,0.0010364055633544922
1780661863.849965,SEND,8,1,
1780661865.8575587,TIMEOUT,8,1,
1780661865.8581865,SEND,8,2,
1780661865.863374,ACK,8,2,0.005187511444091797
1780661865.8667605,SEND,9,1,
1780661865.8684998,ACK,9,1,0.0017392635345458984
1780661865.8705494,SEND,10,1,
1780661865.8717074,ACK,10,1,0.001157999038696289
1780661865.8726335,SEND,11,1,
1780661865.8735485,ACK,11,1,0.0009150505065917969
1780661865.8791616,SEND,12,1,
1780661865.880659,ACK,12,1,0.001497507095336914
1780661865.8815584,SEND,13,1,
1780661865.8827097,ACK,13,1,0.0011513233184814453
1780661865.8834314,SEND,14,1,
1780661865.8851604,ACK,14,1,0.0017290115356445312
1780661865.8870308,SEND,15,1,
1780661865.8878484,ACK,15,1,0.0008175373077392578
1780661865.8886437,SEND,16,1,
1780661865.8895867,ACK,16,1,0.0009429454803466797
1780661865.8901794,SEND,17,1,
1780661865.8907945,ACK,17,1,0.0006151199340820312
1780661865.8914685,SEND,18,1,
1780661865.8923283,ACK,18,1,0.0008597373962402344
1780661865.8930569,SEND,19,1,
1780661865.8989284,ACK,19,1,0.00587153434753418
1780661865.9022653,SEND,20,1,
1780661865.9033027,ACK,20,1,0.0010373592376708984
1780661865.9058049,SEND,21,1,
1780661865.9087713,ACK,21,1,0.0029664039611816406
1780661865.9095955,SEND,22,1,
1780661865.916953,ACK,22,1,0.007357597351074219
1780661865.9183114,SEND,23,1,
1780661865.9206774,ACK,23,1,0.0023660659790039062
1780661865.9238846,SEND,24,1,
1780661865.9268928,ACK,24,1,0.003008127212524414
1780661865.9319944,SEND,25,1,
1780661865.9332054,ACK,25,1,0.001210927963256836
1780661865.93409,SEND,26,1,
1780661867.938786,TIMEOUT,26,1,
1780661867.939227,SEND,26,2,
1780661867.9432437,ACK,26,2,0.0040166378021240234
1780661867.9465268,SEND,27,1,
1780661867.9477382,ACK,27,1,0.001211404800415039
1780661867.9490461,SEND,28,1,
1780661867.949899,ACK,28,1,0.0008528232574462891
1780661867.9509497,SEND,29,1,
1780661867.9554222,ACK,29,1,0.004472494125366211
1780661867.959165,SEND,30,1,
1780661867.9602234,ACK,30,1,0.001058340072631836
1780661867.9612355,SEND,31,1,
1780661869.9699135,TIMEOUT,31,1,
1780661869.970213,SEND,31,2,
1780661869.9741626,ACK,31,2,0.003949642181396484
1780661869.9778233,SEND,32,1,
1780661869.9789455,ACK,32,1,0.0011222362518310547
1780661869.9806156,SEND,33,1,
1780661869.981866,ACK,33,1,0.0012502670288085938
1780661869.9830954,SEND,34,1,
1780661869.9882274,ACK,34,1,0.005131959915161133
1780661869.9924479,SEND,35,1,
